"ID"	"Beta"	"HR"	"P-value"	"GP1"	"GP2"	"Hr-Inv-lst"	"Concordance"	"Std_Error"
"UBALD2"	"0.854828948421374"	"2.35097220867222"	"0.0107278933368428"	"83"	"75"	"0.425355942665431"	"0.61836809366996"	"0.0435002597964329"
"UBAP2"	"-0.659277844097444"	"0.517224716537444"	"0.0399388849248141"	"69"	"89"	"1.93339561708205"	"0.590376875228686"	"0.0467200107413002"
"UBE2C"	"1.05011968935305"	"2.85799316894624"	"0.00107661196757726"	"105"	"53"	"0.349895867794781"	"0.658616904500549"	"0.0454549507522197"
"UBE2T"	"0.707978137748291"	"2.02988296310396"	"0.0289328605895338"	"95"	"63"	"0.49263923988547"	"0.616538602268569"	"0.046317460913391"
"UBL4A"	"0.73972431339457"	"2.09535777278866"	"0.0215726167432206"	"107"	"51"	"0.477245467569543"	"0.625137211855104"	"0.0468080999343379"
"UBR4"	"-0.712963197176847"	"0.490189515082801"	"0.0271753663372001"	"51"	"107"	"2.04002731439713"	"0.604281009879254"	"0.0470102156917192"
"UBTFL1"	"1.43834326053992"	"4.21370901294262"	"0.0191231557414831"	"152"	"6"	"0.237320611586716"	"0.535492133186974"	"0.0277674440650617"
"UBXN2A"	"2.61912568736727"	"13.7237195168467"	"0.0138222954111851"	"156"	"2"	"0.0728665431242919"	"0.52488108305891"	"0.025509847862292"
"UCMA"	"0.705297048462605"	"2.02444795476737"	"0.0297228204744666"	"92"	"66"	"0.493961821861165"	"0.586534943285766"	"0.0471633718650732"
"UCP1"	"0.944782990719811"	"2.57225511478538"	"0.0190321363970688"	"140"	"18"	"0.388763927128369"	"0.532930845225027"	"0.0290802050048248"
"UFSP1"	"0.721389301252946"	"2.05728942088635"	"0.0371355290783893"	"82"	"76"	"0.486076479977798"	"0.585986095865349"	"0.0463188149020391"
"UGT1A6"	"1.49106020682333"	"4.44180225256332"	"0.0435285910202102"	"154"	"4"	"0.225133840531264"	"0.529088913282107"	"0.0277775470283709"
"UGT2B10"	"1.53539257070279"	"4.64314793606734"	"0.0128255255167177"	"153"	"5"	"0.215371126177595"	"0.549213318697402"	"0.0321918620626971"
"UGT2B15"	"0.721890916920809"	"2.05832164836229"	"0.0431259042734072"	"132"	"26"	"0.485832717542301"	"0.587998536406879"	"0.044396725584687"
"UMPS"	"0.876310931344078"	"2.40202211696428"	"0.0136536083918593"	"130"	"28"	"0.416315900231517"	"0.59732894255397"	"0.0464155796242168"
"UNC45A"	"1.16576237535028"	"3.20836793168779"	"0.00145254722446477"	"85"	"73"	"0.311684950508136"	"0.629345042078302"	"0.0447237593212677"
"UNC79"	"1.20302967014755"	"3.3301910347762"	"0.0164891441836019"	"144"	"14"	"0.300283073720785"	"0.562751555067691"	"0.0385955854881794"
"UPF2"	"-1.35370171857457"	"0.258282400116614"	"0.000129143763609673"	"35"	"123"	"3.87173109568636"	"0.655323819978046"	"0.0450612543715978"
"UPF3A"	"-0.967507499693808"	"0.380029081208529"	"0.0312585807118889"	"11"	"147"	"2.63137756936891"	"0.572813757775338"	"0.0426159997299399"
"UQCRB"	"-1.59543944301805"	"0.202819381355371"	"1.08183255026252e-05"	"24"	"134"	"4.93049526784546"	"0.636297109403586"	"0.0434311276030048"
"URAD"	"2.64482246528762"	"14.0809450046842"	"0.0121761450867309"	"157"	"1"	"0.0710179607737502"	"0.516831320892792"	"0.0165313474274429"
"UROS"	"-1.01190262253373"	"0.363526667147235"	"0.0162683826863657"	"108"	"50"	"2.75082983003"	"0.587266739846323"	"0.0350275267006071"
"USH1C"	"-0.738351494645949"	"0.477901089016858"	"0.0386602926132046"	"23"	"135"	"2.09248319993831"	"0.561287961946579"	"0.0400055959554986"
"USP17L10"	"3.82476167905909"	"45.821878751702"	"0.0019778163807184"	"156"	"2"	"0.0218236359407864"	"0.525978777899744"	"0.0254031702479686"
"USP19"	"-0.712224228348196"	"0.490551883727656"	"0.029727971018253"	"72"	"86"	"2.03852035466891"	"0.582693011342847"	"0.0482045732052574"
"USP20"	"-1.16708115567856"	"0.311274177446037"	"0.00305254348330376"	"24"	"134"	"3.21260185539599"	"0.584522502744237"	"0.0417364663438314"
"USP4"	"1.05006540131958"	"2.85783801832888"	"0.00199144862986043"	"109"	"49"	"0.349914863468976"	"0.604098060739115"	"0.0458799989555634"
"USP7"	"-0.705870811691562"	"0.493678486022888"	"0.0487000050461543"	"31"	"127"	"2.02560984185492"	"0.57628979143798"	"0.0431778438475455"
"UTP15"	"0.750488701544109"	"2.11803485063157"	"0.017923789726038"	"109"	"49"	"0.47213576287558"	"0.604829857299671"	"0.0470243273357923"
"UTP20"	"0.819836596909304"	"2.2701288611517"	"0.0118296271304849"	"95"	"63"	"0.440503628279794"	"0.620563483351628"	"0.0442438136282159"
"VAMP4"	"-0.743671487211818"	"0.475365409654211"	"0.0254930751457252"	"63"	"95"	"2.10364485865182"	"0.616721551408708"	"0.0463909865866568"
"VAPA"	"-1.38263496881732"	"0.250916524013326"	"0.0238082715048337"	"6"	"152"	"3.98538918045465"	"0.54573728503476"	"0.0309111920157198"
"VASP"	"1.25391569577986"	"3.5040368717548"	"0.0404430393345894"	"26"	"132"	"0.285385124814399"	"0.56110501280644"	"0.0289369481212183"
